cod_comune,den_comune
21006,Abtei#46.6091756#11.8941784
21108,Ahrntal#47.0020051#11.933166
21001,Aldein#46.3655242#11.3555754
21038,Algund#46.6804881#11.1332369
21003,Altrei#46.2777845#11.3665392
21002,Andrian#46.518955#11.2336867
21060,Auer#46.3661675#11.3106483
21007,Barbian#46.6051628#11.5011683
21008,Bozen#46.4982953#11.3547582
21012,Branzoll#46.4040482#11.3206416
21010,Brenner#46.9498198#11.3881342
21011,Brixen#46.7177048#11.6572436
21013,Bruneck#46.7965736#11.9380416
21066,Burgstall#46.6097665#11.1923597
21026,Corvara#46.5525905#11.8742745
21059,Deutschnofen#46.3943286#11.4655954
21047,Enneberg#46.7000428#11.9304297
21004,Eppan an der Weinstraße#46.4745536#11.247903
21116,Feldthurns#46.6793797#11.5883181
21032,Franzensfeste#46.7968979#11.6031216
21016,Freienfeld#46.8721372#11.4829711
21034,Gais#46.8490507#11.983612
21035,Gargazon#46.5858854#11.2022046
21036,Glurns#46.6706289#10.5529478
21027,Graun im Vinschgau#46.8081108#10.5407426
21109,Gsies#46.8147485#12.2124548
21005,Hafling#46.6466855#11.2244032
21077,Innichen#46.7300428#12.2805214
21079,Jenesien#46.5352348#11.330217
21015,Kaltern an der Weinstraße#46.4130306#11.2403375
21023,Karneid#46.4900837#11.40681
21018,Kastelbell-Tschars#46.6283245#10.9057667
21019,Kastelruth#46.5681349#11.5639653
21021,Kiens#46.8060517#11.8385702
21022,Klausen#46.6802557#11.5318194
21014,Kuens#46.7008905#11.167187
21024,Kurtatsch an der Weinstraße#46.3091096#11.2008382
21025,Kurtinig an der Weinstraße#46.2679913#11.2210822
21042,Laas#46.6198875#10.6947782
21039,Lajen#46.6082329#11.5658188
21041,Lana#46.6115909#11.1629537
21037,Latsch#46.6177058#10.8589638
21043,Laurein#46.4535524#11.0622146
21040,Leifers#46.4271136#11.3372914
21044,Lüsen#46.7453072#11.7621616
21046,Mals#46.6863988#10.5514095
21045,Margreid an der Weinstraße#46.2868423#11.2114018
21048,Marling#46.6572415#11.1264518
21049,Martell#46.5339136#10.7362558
21051,Meran#46.6712938#11.1525179
21050,Mölten#46.5851744#11.2534819
21053,Montan#46.3309953#11.3041374
21054,Moos in Passeier#46.8302542#11.1691086
21074,Mühlbach#46.7965211#11.6681001
21088,Mühlwald#46.8898029#11.8629481
21055,Nals#46.5428204#11.2029555
21056,Naturns#46.6343132#11.0111737
21057,Natz-Schabs#46.7696062#11.6635132
21029,Neumarkt#46.3115896#11.272514
21113,Niederdorf#46.7358347#12.1858355
21106,Olang#46.7473333#12.0169881
21062,Partschins#46.7096259#11.0405729
21063,Percha#46.7914924#11.9823992
21030,Pfalzen#46.8405616#11.8777436
21105,Pfatten#46.4133453#11.3050717
21107,Pfitsch#46.9620893#11.5584155
21064,Plaus#46.6422651#11.0548844
21067,Prad am Stilfserjoch#46.6218409#10.5914004
21009,Prags#46.7174671#12.1281419
21068,Prettau#47.0378477#12.1031379
21069,Proveis#46.4746123#11.0221519
21071,Rasen-Antholz#46.8628828#12.1305401
21070,Ratschings#46.8684818#11.3173944
21073,Riffian#46.7031005#11.1806751
21072,Ritten#46.5333145#11.4489486
21075,Rodeneck#46.7786995#11.6903166
21076,Salurn#46.2393458#11.2181898
21017,Sand in Taufers#46.9195521#11.951966
21085,St. Christina in Gröden#46.5681399#11.7192798
21080,St. Leonhard in Passeier#46.8128604#11.2457229
21081,St. Lorenzen#46.7822986#11.9042684
21083,St. Martin in Passeier#46.7858228#11.2302446
21082,St. Martin in Thurn#46.6820595#11.8978246
21084,St. Pankraz#46.5708856#11.0612836
21061,St. Ulrich in Gröden#46.5734348#11.6742025
21086,Sarntal#46.7031507#11.4023372
21087,Schenna#46.6869305#11.1888008
21093,Schlanders#46.6276771#10.7736888
21094,Schluderns#46.664767#10.5863076
21091,Schnals#46.709241#10.9036859
21092,Sexten#46.7018614#12.3502539
21115,Sterzing#46.8926725#11.4336186
21095,Stilfs#46.5978571#10.5444255
21103,Taufers im Münstertal#46.6413313#10.462814
21096,Terenten#46.8299024#11.7784058
21097,Terlan#46.5384622#11.2421084
21100,Tiers#46.4692739#11.5236422
21101,Dorf Tirol#46.690721#11.1555403
21099,Tisens#46.5656863#11.169672
21028,Toblach#46.704998#12.2289403
21098,Tramin an der Weinstraße#46.3408096#11.2421663
21102,Truden im Naturpark#46.3225383#11.3497294
21020,Tscherms#46.6330473#11.1462465
21104,Ulten#46.5156218#10.9277256
21118,Unsere Liebe Frau im Walde-St. Felix#46.5051614#11.1352478
21111,Vahrn#46.7321856#11.6497243
21114,Villanders#46.6305179#11.5375297
21033,Villnöß#46.6405526#11.6848581
21110,Vintl#46.8167276#11.7229919
21031,Völs am Schlern#46.5065464#11.5112687
21112,Vöran#46.6052322#11.2278981
21065,Waidbruck#46.5977848#11.5312649
21052,Welsberg-Taisten#46.7547568#12.1067087
21058,Welschnofen#46.4243617#11.5529938
21117,Wengen#46.6587285#11.9283722
21089,Wolkenstein in Gröden#46.5565395#11.7839583
